,District code,District name,Overall 2020-2021 attendance rate - year to date,Overall 2019-2020 attendance rate,Reporting period,Update date
97,1120011,Pomfret School District,0.98,0.96,June 2021,08/06/2021
98,1130011,Portland School District,0.94,0.95,June 2021,08/06/2021
99,1140011,Preston School District,0.95,0.95,June 2021,08/06/2021
100,1160011,Putnam School District,0.9,0.94,June 2021,08/06/2021
101,1170011,Redding School District,0.97,0.96,June 2021,08/06/2021
102,1180011,Ridgefield School District,0.98,0.95,June 2021,08/06/2021
103,1190011,Rocky Hill School District,0.96,0.96,June 2021,08/06/2021
104,1210011,Salem School District,0.96,0.96,June 2021,08/06/2021
105,1220011,Salisbury School District,0.97,0.95,June 2021,08/06/2021
106,1230011,Scotland School District,0.95,0.97,June 2021,08/06/2021
107,1240011,Seymour School District,0.95,0.95,June 2021,08/06/2021
108,1250011,Sharon School District,0.96,0.96,June 2021,08/06/2021
109,1260011,Shelton School District,0.95,0.95,June 2021,08/06/2021
110,1270011,Sherman School District,0.96,0.95,June 2021,08/06/2021
111,1280011,Simsbury School District,0.97,0.96,June 2021,08/06/2021
112,1290011,Somers School District,0.96,0.96,June 2021,08/06/2021
113,1310011,Southington School District,0.95,0.95,June 2021,08/06/2021
114,1320011,South Windsor School District,0.98,0.96,June 2021,08/06/2021
115,1330011,Sprague School District,0.91,0.94,June 2021,08/06/2021
116,1340011,Stafford School District,0.95,0.95,June 2021,08/06/2021
117,1350011,Stamford School District,0.94,0.95,June 2021,08/06/2021
118,1360011,Sterling School District,0.91,0.94,June 2021,08/06/2021
119,1370011,Stonington School District,0.92,0.95,June 2021,08/06/2021
120,1380011,Stratford School District,0.92,0.94,June 2021,08/06/2021
121,1390011,Suffield School District,0.95,0.95,June 2021,08/06/2021
122,1400011,Thomaston School District,0.93,0.96,June 2021,08/06/2021
123,1410011,Thompson School District,0.9,0.93,June 2021,08/06/2021
124,1420011,Tolland School District,0.97,0.96,June 2021,08/06/2021
125,1430011,Torrington School District,0.9,0.95,June 2021,08/06/2021
126,1440011,Trumbull School District,0.97,0.96,June 2021,08/06/2021
127,1450011,Union School District,0.98,0.96,June 2021,08/06/2021
128,1460011,Vernon School District,0.94,0.95,June 2021,08/06/2021
129,1470011,Voluntown School District,0.94,0.95,June 2021,08/06/2021
130,1480011,Wallingford School District,0.95,0.95,June 2021,08/06/2021
131,1510011,Waterbury School District,0.9,0.93,June 2021,08/06/2021
132,1520011,Waterford School District,0.95,0.95,June 2021,08/06/2021
133,1530011,Watertown School District,0.95,0.95,June 2021,08/06/2021
134,1540011,Westbrook School District,0.97,0.95,June 2021,08/06/2021
135,1550011,West Hartford School District,0.96,0.95,June 2021,08/06/2021
136,1560011,West Haven School District,0.92,0.94,June 2021,08/06/2021
137,1570011,Weston School District,0.97,0.96,June 2021,08/06/2021
138,1580011,Westport School District,0.96,0.96,June 2021,08/06/2021
139,1590011,Wethersfield School District,0.97,0.96,June 2021,08/06/2021
140,1600011,Willington School District,0.91,0.95,June 2021,08/06/2021
141,1610011,Wilton School District,0.97,0.97,June 2021,08/06/2021
142,1620011,Winchester School District,0.93,0.94,June 2021,08/06/2021
143,1630011,Windham School District,0.87,0.94,June 2021,08/06/2021
144,1640011,Windsor School District,0.92,0.95,June 2021,08/06/2021
145,1650011,Windsor Locks School District,0.94,0.94,June 2021,08/06/2021
146,1660011,Wolcott School District,0.95,0.95,June 2021,08/06/2021
147,1670011,Woodbridge School District,0.97,0.96,June 2021,08/06/2021
148,1690011,Woodstock School District,0.97,0.95,June 2021,08/06/2021
149,2010012,Regional School District 01,0.88,0.94,June 2021,08/06/2021
150,2040012,Regional School District 04,0.96,0.95,June 2021,08/06/2021
151,2050012,Regional School District 05,0.95,0.96,June 2021,08/06/2021
152,2060012,Regional School District 06,0.95,0.95,June 2021,08/06/2021
153,2070012,Regional School District 07,0.96,0.95,June 2021,08/06/2021
154,2080012,Regional School District 08,0.95,0.96,June 2021,08/06/2021
155,2090012,Regional School District 09,0.95,0.95,June 2021,08/06/2021
156,2100012,Regional School District 10,0.95,0.96,June 2021,08/06/2021
157,2110012,Regional School District 11,0.92,0.95,June 2021,08/06/2021
158,2120012,Regional School District 12,0.94,0.94,June 2021,08/06/2021
159,2130012,Regional School District 13,0.96,0.96,June 2021,08/06/2021
160,2140012,Regional School District 14,0.97,0.95,June 2021,08/06/2021
161,2150012,Regional School District 15,0.97,0.96,June 2021,08/06/2021
162,2160012,Regional School District 16,0.96,0.96,June 2021,08/06/2021
163,2170012,Regional School District 17,0.95,0.97,June 2021,08/06/2021
164,2180012,Regional School District 18,0.96,0.95,June 2021,08/06/2021
165,2190012,Regional School District 19,0.97,0.96,June 2021,08/06/2021
166,2410014,Capitol Region Education Council,0.91,0.93,June 2021,08/06/2021
167,2420014,EdAdvance,0.78,0.87,June 2021,08/06/2021
168,2430014,Cooperative Educational Services,0.9,0.93,June 2021,08/06/2021
169,2440014,Area Cooperative Educational Services,0.8,0.92,June 2021,08/06/2021
170,2450014,Learn,0.89,0.94,June 2021,08/06/2021
171,2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),0.8,0.91,June 2021,08/06/2021
172,2610013,Jumoke Academy District,0.94,0.94,June 2021,08/06/2021
173,2630013,Odyssey Community School District,0.96,0.95,June 2021,08/06/2021
174,2640013,Integrated Day Charter School District,0.95,0.96,June 2021,08/06/2021
175,2650013,Interdistrict School for Arts and Comm District,0.96,0.95,June 2021,08/06/2021
176,2680013,Common Ground High School District,0.78,0.94,June 2021,08/06/2021
177,2690013,The Bridge Academy District,0.93,0.94,June 2021,08/06/2021
178,2700013,Side By Side Charter School District,0.94,0.96,June 2021,08/06/2021
179,2720013,Explorations District,0.85,0.91,June 2021,08/06/2021
180,2790013,Amistad Academy District,0.94,0.96,June 2021,08/06/2021
181,2800013,New Beginnings Inc Family Academy District,0.8,0.95,June 2021,08/06/2021
182,2830013,Park City Prep Charter School District,0.92,0.96,June 2021,08/06/2021
183,2850013,Achievement First Bridgeport Academy District,0.94,0.96,June 2021,08/06/2021
184,2860013,Highville Charter School District,0.95,0.95,June 2021,08/06/2021
185,2880013,Achievement First Hartford Academy District,0.9,0.96,June 2021,08/06/2021
186,2890013,Elm City College Preparatory School District,0.94,0.96,June 2021,08/06/2021
187,2900013,Brass City Charter School District,0.92,0.95,June 2021,08/06/2021
188,2910013,Elm City Montessori School District,0.93,0.96,June 2021,08/06/2021
189,2940013,Great Oaks Charter School District,0.96,0.95,June 2021,08/06/2021
190,2950013,Booker T. Washington Academy District,0.86,0.94,June 2021,08/06/2021
191,2960013,Stamford Charter School for Excellence District,0.97,0.96,June 2021,08/06/2021
192,2970013,Capital Preparatory Harbor School District,0.94,0.96,June 2021,08/06/2021
193,3360015,Unified School District #1,0.94,0.95,June 2021,08/06/2021
194,3470015,Unified School District #2,0.97,0.96,June 2021,08/06/2021
195,9000016,Connecticut Technical Education and Career System,0.93,0.95,June 2021,08/06/2021
196,9010022,Norwich Free Academy District,0.89,0.93,June 2021,08/06/2021
197,9020022,The Gilbert School District,0.94,0.94,June 2021,08/06/2021
198,9030022,The Woodstock Academy District,0.96,0.95,June 2021,08/06/2021
